颇 頗
颈 頸
颉 頡
颊 頰
颋 頲
颌 頜
颍 潁
颎 熲
颏 頦
颐 頤
频 頻
颒 頮
颓 頽
颔 頷
颕 頴
颖 穎
颗 顆
题 題
颙 顒
颚 顎
颛 顓
颜 顔
额 額
颞 顳
颟 顢
颠 顛
颡 顙
颢 顥
颤 顫
颥 顬
颦 顰
颧 顴
风 風
飏 颺
飐 颭
飑 颮
飒 颯
飓 颶
飔 颸
飕 颼
飖 颻
飗 飀
飘 飄
飙 飆
飚 飈
飞 飛
飨 饗
餍 饜
饤 飣
饥 饑
饦 飥
饧 餳
饨 飩
饩 餼
饪 飪
饫 飫
饬 飭
饭 飯
饮 飲
饯 餞
饰 飾
饱 飽
饲 飼
饳 飿
饴 飴
饵 餌
饶 饒
饷 餉
饺 餃
饼 餅
饽 餑
饾 餖
饿 餓
馁 餒
馂 餕
馄 餛
馅 餡
馆 館
馈 饋
馉 餶
馊 餿
馋 饞
馌 饁
馍 饃
馎 餺
馏 餾
馐 饈
馑 饉
馒 饅
馓 饊
馔 饌
马 馬
驭 馭
驮 馱
驯 馴
驰 馳
驱 驅
驲 馹
驳 駁
驴 驢
驵 駔
驶 駛
驷 駟
驸 駙
驹 駒
驺 騶
驻 駐
驼 駝
驽 駑
驾 駕
驿 驛
骀 駘
骁 驍
骂 駡
骃 駰
骄 驕
骅 驊
骆 駱
骇 駭
骈 駢
骉 驫
骊 驪
骋 騁
验 驗
骍 騂
骎 駸
骏 駿
骐 騏
骑 騎
骓 騅
骔 騌
骕 驌
骖 驂
骗 騙
骘 騭
骙 騤
骚 騷
骛 騖
骜 驁
骝 騮
骞 騫
骠 驃
骡 騾
骢 驄
骣 驏
骤 驟
骥 驥
骦 驦
骧 驤
髅 髏
髋 髖
髌 髕
鬓 鬢
魇 魘
魉 魎
鱼 魚
鱽 魛
鲀 魨
鲁 魯
鲂 魴
鲇 鮎 鯰
鲈 鱸
鲊 鮓
鲋 鮒
鲌 鮊
鲍 鮑
鲎 鱟
鲐 鮐
鲑 鮭
鲒 鮚
鲔 鮪
鲕 鮞
鲖 鮦
鲗 鰂
鲙 鱠
鲚 鱭
鲛 鮫
鲜 鮮
鲞 鮝 鯗
鲟 鱘
鲠 鯁
鲢 鰱
鲤 鯉
鲥 鰣
鲦 鰷
鲧 鯀
鲨 鯊
鲩 鯇
鲫 鯽
鲭 鯖
鲮 鯪
鲰 鯫
鲲 鯤
鲵 鯢
鲶 鯰
鲷 鯛
鲸 鯨
鲹 鰺
鲻 鯔
鲽 鰈
鲿 鱨
鳀 鯷
鳃 鰓
鳄 鰐 鱷
鳅 鰍
鳆 鰒
鳊 鯿
鳌 鰲
鳍 鰭
鳏 鰥
鳐 鰩
鳑 鰟
鳔 鰾
鳖 鱉
鳗 鰻
鳜 鱖
鳝 鱔
鳞 鱗
鳟 鱒
鳠 鱯
鳢 鱧
鳣 鱣
鸟 鳥
鸠 鳩
鸡 鷄
鸢 鳶
鸣 鳴
鸤 鳲
鸥 鷗
鸦 鴉
鸧 鶬
鸨 鴇
鸩 鴆
鸪 鴣
鸬 鸕
鸭 鴨
鸮 鴞
鸯 鴦
鸰 鴒
鸱 鴟
鸲 鴝
鸳 鴛
鸴 鷽
鸶 鷥
鸷 鷙
鸸 鴯
鸹 鴰
鸺 鵂
鸽 鴿
鸾 鸞
鸿 鴻
鹁 鵓
鹂 鸝
鹃 鵑
鹄 鵠
鹅 鵝
鹆 鵒
鹇 鷳
鹈 鵜
鹉 鵡
鹊 鵲
鹌 鵪
鹍 鵾
鹎 鵯
鹏 鵬
鹐 鵮
鹑 鶉
鹒 鶊
鹓 鵷
鹔 鷫
鹕 鶘
鹖 鶡
鹗 鶚
鹘 鶻
鹙 鶖
鹚 鶿 鷀
鹜 鶩
鹝 鷊
鹞 鷂
鹠 鶹
鹡 鶺
鹢 鷁
鹣 鶼
鹤 鶴
鹥 鷖
鹦 鸚
鹧 鷓
鹨 鷚
鹩 鷯
鹪 鷦
鹫 鷲
鹬 鷸
鹭 鷺
鹯 鸇
鹰 鷹
鹳 鸛
鹴 鸘
鹾 鹺
麸 麩
黄 黃
黉 黌
黡 黶
黩 黷
黪 黲
黾 黽
鼋 黿
鼍 鼉
