#CB编号, 通用字, 原字, 組合表示式
CB06976,,𦼼,[蘇-禾+又]                                 
CB06978,,𨕱,[遄-而+夆]                                 
CB06981,,𧑮,[蝡-大+而]                                 
CB06984,餔,,[米*(止/少)]                               
CB06986,枻,,[木*(尤-尢+曳)]                             
CB06987,撠,,[打-丁+(卓*戈)]                             
CB06990,竽,𥫡,[竺-二+(圬-土)]                             
CB06991,,𧾛,[起-巳+(卄/隻)]                             
CB06992,,𧺸,[起-巳+(同-一)]                             
CB06995,,㲙,[毯-炎+(梳-木)]                             
CB07001,,𧝙,[袖-由+(差-工+目)]                           
CB07006,詆,𠯞,[口*互]                                   
CB07009,,㙔,[土*韋]                                   
CB07014,茶,𣗪,[木*茶]                                   
CB07016,玖,㺵,[王*欠]                                   
CB07018,瓊,,[王*寶]                                   
CB07020,,𥈵,[目*柬]                                   
CB07026,脈,𧖹,[血*豕]                                   
CB07028,霾,䨪,[雨/埋]                                   
CB07031,,𩥫,[馬*舂]                                   
CB07032,鑣,䮽,[馬*麃]                                   
CB07036,,䶚,[齒*虫]                                   
CB07038,燕,𪈏,[燕/鳥]                                   
CB07041,,𢮱,[打-丁+宗]                                 
CB07043,據,㨿,[打-丁+處]                                 
CB07045,,𠚼,[利-禾+分]                                 
CB07047,勇,,[戒-廾+角]                                 
CB07048,,𤡸,[狂-王+象]                                 
CB07049,潕,㵲,[泳-永+舞]                                 
CB07051,,䣏,[邱-丘+供]                                 
CB07055,瑣,𤨏,[瑙-囟+貝]                                 
CB07056,達,𨖫,[達-羊+隹]                                 
CB07057,僊,,[價-貝+令]                                 
CB07063,觿,𧤪,[(角*隹)/乃]                               
CB07071,瘭,,[病-丙+(票*寸)]                             
CB07073,濟,𣸫,[滲-(珍-王)+土]                             
CB07074,兗,,[兗-兄+(ㄠ-ㄙ+?)]                           
CB07082,扂,,[?丳]                                    
CB07084,,𣥗,[止/?]                                   
CB07087,,𦬇,[卄/廾]                                   
CB07088,華,,[卄/幸]                                   
CB07092,,𦾧,[卄/暑]                                   
CB07095,,𧂄,[卄/閻]                                   
CB07096,,䕴,[卄/穛]                                   
CB07112,,𠳎,[口*似]                                   
CB07113,,𠴍,[口*忍]                                   
CB07114,脣,𠼉,[口*脣]                                   
CB07115,噆,𠾱,[口*替]                                   
CB07118,,𠵖,[口*戔]                                   
CB07120,,𡀄,[口*壼]                                   
CB07123,牆,𡓜,[土*廧]                                   
CB07125,,𡖅,[夕*匕]                                   
CB07126,,𠂊,[夕-、]                                   
CB07127,奪,𡙜,[大/隻]                                   
CB07128,,㛘,[女*孛]                                   
CB07130,,㚷,[女*尒]                                   
CB07131,,㞋,[尸@又]                                   
CB07136,,㟓,[山*希]                                   
CB07137,,𡻊,[山*盍]                                   
CB07139,崩,,[山/多]                                   
CB07142,,𢂴,[巾*志]                                   
CB07143,,𢃩,[巾*卷]                                   
CB07144,褌,㡓,[巾*軍]                                   
CB07145,,𢎿,[弓*ㄆ]                                   
CB07147,,㓞,[丰*刀]                                   
CB07148,棄,,[云/廾]                                   
CB07150,,𩿍,[互*鳥]                                   
CB07153,胸,𦙄,[凶/月]                                   
CB07155,肩,𢩌,[戶@肉]                                   
CB07160,,㬝,[日*曾]                                   
CB07163,炙,𦜡,[月*炙]                                   
CB07164,肋,𦟯,[月*勒]                                   
CB07165,膊,𦢸,[月*薄]                                   
CB07166,腳,,[月*郤]                                   
CB07170,,㮴,[木*叟]                                   
CB07172,,㮶,[木*朔]                                   
CB07173,栽,,[木*栽]                                   
CB07181,,㱠,[歹*古]                                   
CB07182,,𣩅,[歹*高]                                   
CB07183,殄,𣧠,[歹*尒]                                   
CB07184,,𤊕,[火*釆]                                   
CB07187,析,𣂔,[片*斤]                                   
CB07188,玻,𤤭,[王*史]                                   
CB07189,,𤪟,[王*僕]                                   
CB07190,珍,,[王*尒]                                   
CB07195,辜,𢪿,[古/手]                                   
CB07200,界,,[田/分]                                   
CB07201,,𥅆,[目*冉]                                   
CB07202,,䀭,[目*亥]                                   
CB07203,,𥇔,[目*長]                                   
CB07205,,𡕥,[目/ㄆ]                                   
CB07206,辟,,[石*辛]                                   
CB07207,,䂺,[石*果]                                   
CB07211,耕,𥝷,[禾*井]                                   
CB07214,,䅤,[禾*臿]                                   
CB07218,,𥥽,[穴/求]                                   
CB07219,,䆸,[穴/登]                                   
CB07220,,𠛳,[亥*刀]                                   
CB07221,咎,𠧨,[各*卜]                                   
CB07225,,𠘨,[夙-歹]                                   
CB07228,雌,,[此/隹]                                   
CB07234,緧,䋺,[糸*秋]                                   
CB07235,,𦅘,[糸*間]                                   
CB07236,纆,𦄿,[糸*黑]                                   
CB07239,,䍬,[羊*平]                                   
CB07249,那,,[舟*巳]                                   
CB07251,,𧉈,[虫*不]                                   
CB07252,蠃,𧕳,[虫*羸]                                   
CB07253,蟘,𧎢,[虫*貣]                                   
CB07256,鶺,䳭,[即*鳥]                                   
CB07257,鶺,𪃹,[即/鳥]                                   
CB07262,,𩓂,[弟*頁]                                   
CB07264,蛾,䖸,[我/虫]                                   
CB07265,,㤮,[狂/心]                                   
CB07267,鯀,𧣙,[角*玄]                                   
CB07269,謇,𧮈,[言*蹇]                                   
CB07270,,𧯑,[谷*間]                                   
CB07273,遺,𧸃,[貝*貴]                                   
CB07274,較,䡈,[車*爻]                                   
CB07276,軫,𨋏,[車*尒]                                   
CB07277,,𨊥,[車/山]                                   
CB07281,鶀,䳢,[其*鳥]                                   
CB07283,,𤙻,[卷/牛]                                   
CB07284,,𠂔,[姊-女]                                   
CB07292,闃,𨶑,[門@臭]                                   
CB07293,,𠂤,[阜-十]                                   
CB07295,讎,𩀕,[信*隹]                                   
CB07296,星,𠻖,[品/生]                                   
CB07299,鼀,𪓰,[酋*黽]                                   
CB07300,,䩅,[面*皮]                                   
CB07301,,䩌,[面*焦]                                   
CB07305,,𩌦,[革*徙]                                   
CB07306,,𧏐,[原/虫]                                   
CB07308,,㐬,[梳-木]                                   
CB07311,,𠂢,[脈-月]                                   
CB07313,,𢆶,[茲-卄]                                   
CB07315,雝,𪄉,[邕*鳥]                                   
