与 與 U+4E0E U+8207
罌 甖 U+7F4C U+7516
罔 网 U+7F54 U+7F51
罵 傌 U+7F75 U+508C
羨 羡 U+7FA8 U+7FA1
翦 剪 U+7FE6 U+526A
耀 曜 U+8000 U+66DC
耏 耐 U+800F U+8010
耐 耏 U+8010 U+800F
耑 專 U+8011 U+5C08
耙 鈀 U+8019 U+9200
耨 鎒 U+8028 U+9392
耰 櫌 U+8030 U+6ACC
耶 邪 U+8036 U+90AA
耿 熲 U+803F U+71B2
聖 圣 U+8056 U+5723
聝 馘 U+805D U+9998
聽 听 U+807D U+542C
肕 韌 U+8095 U+97CC
肢 胑 U+80A2 U+80D1
肴 餚 U+80B4 U+991A
胑 肢 U+80D1 U+80A2
胔 骴 U+80D4 U+9AB4
胗 疹 U+80D7 U+75B9
胙 作 U+80D9 U+4F5C
胯 骻 U+80EF U+9ABB
胸 匈 U+80F8 U+5308
脥 頰 U+8125 U+9830
腫 尰 U+816B U+5C30
膆 嗉 U+8186 U+55C9
膋 膫 U+818B U+81AB
膫 膋 U+81AB U+818B
膾 鱠 U+81BE U+9C60
臘 腊 U+81D8 U+814A
舀 抌 U+8200 U+628C
與 与 U+8207 U+4E0E
舔 餂 U+8214 U+9902
船 舡 U+8239 U+8221
艐 屆 U+8250 U+5C46
芔 卉 U+8294 U+5349
芰 茤 U+82B0 U+8324
苓 蓮 U+82D3 U+84EE
苟 茍 U+82DF U+830D
苤 瞥 U+82E4 U+77A5
英 偀 U+82F1 U+5040
茂 楙 U+8302 U+6959
茄 伽 U+8304 U+4F3D
茍 苟 U+830D U+82DF
茠 薅 U+8320 U+8585
茤 芰 U+8324 U+82B0
荇 莕 U+8347 U+8395
草 屮 U+8349 U+5C6E
荍 蕎 U+834D U+854E
荐 薦 U+8350 U+85A6
荳 豆 U+8373 U+8C46
莕 荇 U+8395 U+8347
莿 朿 U+83BF U+673F
菇 菰 U+83C7 U+83F0
菌 蕈 U+83CC U+8548
菑 災 U+83D1 U+707D
菛 虋 U+83DB U+864B
菰 菇 U+83F0 U+83C7
菴 庵 U+83F4 U+5EB5
萆 蓖 U+8406 U+84D6
萌 鋂 U+840C U+92C2
萱 萲 U+8431 U+8432
葚 椹 U+845A U+6939
葯 藥 U+846F U+85E5
蒞 涖 U+849E U+6D96
蒸 烝 U+84B8 U+70DD
蓖 萆 U+84D6 U+8406
蓮 苓 U+84EE U+82D3
蓺 埶 U+84FA U+57F6
蔑 薎 U+8511 U+858E
蔭 廕 U+852D U+5ED5
蕈 菌 U+8548 U+83CC
蕎 荍 U+854E U+834D
蕢 簣 U+8562 U+7C23
薅 茠 U+8585 U+8320
薎 蔑 U+858E U+8511
薟 蘞 U+859F U+861E
薦 荐 U+85A6 U+8350
薯 藷 U+85AF U+85F7
藂 叢 U+85C2 U+53E2
藉 耤 U+85C9 U+8024
藝 埶 U+85DD U+57F6
藤 籐 U+85E4 U+7C50
藥 葯 U+85E5 U+846F
藷 薯 U+85F7 U+85AF
蘑 藦 U+8611 U+85E6
蘗 檗 U+8617 U+6A97
蘤 花 U+8624 U+82B1
虋 菛 U+864B U+83DB
虓 唬 U+8653 U+552C
虖 乎 U+8656 U+4E4E
虜 擄 U+865C U+64C4
虞 吳 U+865E U+5433
虣 暴 U+8663 U+66B4
虫 虺 U+866B U+867A
虱 蝨 U+8671 U+8768
虺 虫 U+867A U+866B
蚓 螾 U+8693 U+87BE
蚕 蠶 U+8695 U+8836
蚘 痐 U+8698 U+75D0
蛄 蛌 U+86C4 U+86CC
蛋 蜑 U+86CB U+8711
蛔 蚘 U+86D4 U+8698
蜋 螂 U+870B U+8782
蜍 蠩 U+870D U+8829
蜑 蛋 U+8711 U+86CB
蜨 蝶 U+8728 U+8776
蝃 螮 U+8743 U+87AE
蝎 蠍 U+874E U+880D
蝥 蟊 U+8765 U+87CA
蝶 蜨 U+8776 U+8728
螂 蜋 U+8782 U+870B
螘 蟻 U+8798 U+87FB
螮 蝃 U+87AE U+8743
螺 蠃 U+87BA U+8803
螾 蚓 U+87BE U+8693
蟊 蝥 U+87CA U+8765
蟲 虫 U+87F2 U+866B
蟻 螘 U+87FB U+8798
蠃 螺 U+8803 U+87BA
蠍 蝎 U+880D U+874E
蠩 蜍 U+8829 U+870D
衿 紟 U+887F U+7D1F
袒 襢 U+8892 U+8962
袷 裌 U+88B7 U+88CC
裊 褭 U+88CA U+892D
裌 袷 U+88CC U+88B7
裘 求 U+88D8 U+6C42
褢 褱 U+8922 U+8931
褧 絅 U+8927 U+7D45
褭 裊 U+892D U+88CA
褱 懷 U+8931 U+61F7
褵 縭 U+8935 U+7E2D
褶 襲 U+8936 U+8972
襁 繈 U+8941 U+7E48
襖 澳 U+8956 U+6FB3
襜 襝 U+895C U+895D
襝 襜 U+895D U+895C
襟 衿 U+895F U+887F
襢 袒 U+8962 U+8892
襯 儭 U+896F U+512D
見 現 U+898B U+73FE
觕 粗 U+89D5 U+7C97
觜 咀 U+89DC U+5480
訇 渹 U+8A07 U+6E39
訓 馴 U+8A13 U+99B4
託 侂 U+8A17 U+4F82
訥 吶 U+8A25 U+5436
訴 愬 U+8A34 U+612C
詛 謯 U+8A5B U+8B2F
詵 侁 U+8A75 U+4F81
誇 夸 U+8A87 U+5938
